,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
28,42017,1628369,0041700305,"MAY 23, 2018",BOS vs. CLE,W,41,7,15,0.467,3,7,0.429,7,8,0.875,0,7,7,4,4,2,2,3,24,19,1
29,42017,1628369,0041700304,"MAY 21, 2018",BOS @ CLE,L,38,5,13,0.385,0,1,0.0,7,8,0.875,1,1,2,1,0,0,2,3,17,-14,1
30,42017,1628369,0041700303,"MAY 19, 2018",BOS @ CLE,L,31,6,10,0.6,0,1,0.0,6,8,0.75,0,1,1,1,0,1,1,2,18,-11,1
31,42017,1628369,0041700302,"MAY 15, 2018",BOS vs. CLE,W,32,5,12,0.417,1,3,0.333,0,0,0.0,0,3,3,2,1,0,2,3,11,1,1
32,42017,1628369,0041700301,"MAY 13, 2018",BOS vs. CLE,W,37,6,11,0.545,2,5,0.4,2,2,1.0,1,5,6,3,2,0,2,3,16,27,1
33,42017,1628369,0041700215,"MAY 09, 2018",BOS vs. PHI,W,39,8,15,0.533,0,0,0.0,9,11,0.818,1,2,3,4,1,0,2,4,25,4,1
34,42017,1628369,0041700214,"MAY 07, 2018",BOS @ PHI,L,36,7,16,0.438,2,6,0.333,4,4,1.0,1,3,4,4,0,1,3,3,20,-1,1
35,42017,1628369,0041700213,"MAY 05, 2018",BOS @ PHI,W,41,11,17,0.647,1,4,0.25,1,4,0.25,1,4,5,4,1,0,4,3,24,24,1
36,42017,1628369,0041700212,"MAY 03, 2018",BOS vs. PHI,W,33,7,14,0.5,2,4,0.5,5,6,0.833,0,2,2,2,1,1,2,2,21,-7,2
37,42017,1628369,0041700211,"APR 30, 2018",BOS vs. PHI,W,40,8,16,0.5,1,5,0.2,11,12,0.917,0,3,3,2,0,1,4,1,28,18,1
38,42017,1628369,0041700117,"APR 28, 2018",BOS vs. MIL,W,39,7,17,0.412,1,4,0.25,5,5,1.0,0,6,6,5,0,1,1,1,20,24,1
39,42017,1628369,0041700116,"APR 26, 2018",BOS @ MIL,L,32,6,14,0.429,2,6,0.333,8,9,0.889,0,3,3,3,2,0,3,3,22,-7,1
40,42017,1628369,0041700115,"APR 24, 2018",BOS vs. MIL,W,25,2,7,0.286,1,3,0.333,3,3,1.0,0,3,3,4,0,0,0,3,8,0,1
41,42017,1628369,0041700114,"APR 22, 2018",BOS @ MIL,L,36,7,16,0.438,2,5,0.4,5,6,0.833,2,1,3,3,2,0,1,4,21,0,1
42,42017,1628369,0041700113,"APR 20, 2018",BOS @ MIL,L,27,5,11,0.455,1,3,0.333,3,5,0.6,1,4,5,0,0,1,0,0,14,-17,1
43,42017,1628369,0041700112,"APR 17, 2018",BOS vs. MIL,W,30,2,9,0.222,0,2,0.0,0,0,0.0,0,7,7,3,4,1,1,3,4,11,1
44,42017,1628369,0041700111,"APR 15, 2018",BOS vs. MIL,W,44,8,18,0.444,1,3,0.333,2,2,1.0,2,8,10,4,3,1,5,0,19,9,1
